OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
2429, ,Lane,BRADDOCK DR,WAGNER ST/MASGANI ST,CULVER BL,,2013/03/18 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2430, ,Sharrowed Route,ABBOT KINNEY BL,WASHINGTON WY,VENICE BL,,2013/03/05 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2431, ,Sharrowed Route,OCEAN AV,CARROLL CANAL CT,LINNIE CANAL CT,,2013/03/07 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2432, ,Sharrowed Route,OCEAN AV,SOUTH VENICE BL,MILDRED AV,,2013/03/07 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2433, ,Sharrowed Route,MILDRED AV,MCKINLEY AV,BEACH CT,,2013/03/11 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2434, ,Sharrowed Route,MILDRED AV,120' W/O FREY,CLEMENT AV,,2013/03/11 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2435, ,Sharrowed Route,MILDRED AV,CLEMENT AV,155' W/O CLEMENT AV,,2013/03/11 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2436, ,Sharrowed Route,PACIFIC AV,WINDWARD AV,WINDWARD CT,,2013/03/15 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2437, ,Sharrowed Route,7TH AV,SUNSET AV,VERNON AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2438, ,Sharrowed Route,7TH AV,BROADWAY,WESTMINSTER AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2439, ,Sharrowed Route,7TH AV,BROADWAY,WESTMINSTER AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2440, ,Sharrowed Route,7TH AV,VERNON AV,INDIANA AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2441,Backbone,Lane,RESEDA BL,INGOMAR ST,KESWICK ST,,2011/03/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2442,Backbone,Lane,RIVERSIDE DR,KATHERINE AV,TYRONE AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2443,Backbone,Lane,RIVERSIDE DR,VANTAGE AV,BELLINGHAM AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2444,Backbone,Lane,ROSCOE BL,SHOUP AV,CAPISTRANO AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2445,Backbone,Lane,ROSCOE BL,FARRALONE AV,SHOUP AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2446,Backbone,Route,ROSCOE BL,REMMET AV,OWENSMOUTH AV,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2447,Backbone,Lane,SAN VICENTE BL,CARMELINA AV,ANITA AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2448,Backbone,Lane,SEPULVEDA BL,HIGH KNOLL RD,VANDORF PL,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2449,Backbone,Lane,SEPULVEDA BL,MULHOLLAND DR,SKIRBALL CENTER DR,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2450,Backbone,Lane,SEPULVEDA BL,DARTFORD WY,MULHOLLAND DR,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2451,Backbone,Lane,SEPULVEDA BL,SEPULVEDA BL (PVT),76TH ST/77TH ST,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2452,Backbone,Lane,1ST ST,LORENA ST,CONCORD ST,,2011/09/05 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2453,Backbone,Lane,1ST ST,EVERGREEN AV,SAVANNAH ST,,2011/09/05 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2454,Backbone,Lane,VERMONT AV,KNOX ST,FRANCISCO ST,,2011/11/13 00:00:00+00,Central/South,Lane,2023/10/17 00:00:00+00
2455,Neighborhood,Buffer Bike Lane,AVENUE 19,BARRANCA ST,HUMBOLDT ST,,2022/11/20 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2456,Neighborhood,Lane,MAIN ST,BROOKS CT,CLUB HOUSE AV,,2012/01/29 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2457,Neighborhood,Lane,MAIN ST,BROOKS CT,CLUB HOUSE AV,,2012/01/29 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2458,Backbone,Lane,FOOTHILL BL,780' W/O WENTWORTH ST,CONOVER ST (FIRE ROAD),,2012/02/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2459, ,Sharrowed Route,CABRILLO AV,12TH ST,13TH ST,,2014/03/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2460,Backbone,Sharrowed Route,9TH ST,PACIFIC AV,GRAND AV,,2014/03/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2461, ,Sharrowed Route,ALMA ST,25TH ST,26TH ST,,2014/02/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2462, ,Sharrowed Route,ALMA ST,30TH ST,37TH ST,,2014/02/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2463, ,Sharrowed Route,ALMA ST,18TH ST,19TH ST,,2014/02/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2464, ,Sharrowed Route,ALMA ST,17TH ST,245' S/O 17TH ST,,2014/02/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2465, ,Sharrowed Route,ALMA ST,30TH ST,37TH ST,,2014/02/09 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2466, ,Sharrowed Route,26TH ST,ALMA ST,LELAND ST,,2014/03/23 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2467, ,Sharrowed Route,108TH ST,SAN PEDRO ST,WALL ST,,2014/03/05 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2468, ,Sharrowed Route,SILVER LAKE BL,RESERVOIR ST,SUNSET BL,,2014/02/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2469, ,Sharrowed Route,76TH ST,CIMARRON ST,VAN NESS AV,,2014/05/16 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2470,Backbone,Lane,WOODMAN AV,HARTLAND ST,VANOWEN ST,,2012/10/14 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2471, ,Lane,CARSON ST,HALLDALE AV,DENKER AV,,2012/10/14 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2472, ,Lane,CARSON ST,NORMANDIE AV,HALLDALE AV,,2012/10/14 00:00:00+00,South/Harbor,Lane,2023/10/17 00:00:00+00
2473, ,Lane,MOTOR AV,TABOR ST,REGENT ST,,2012/10/26 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2474,Neighborhood,Lane,COLFAX AV,HUSTON ST,LA MAIDA ST,,2006/06/16 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2475, ,Lane,GLENOAKS BL,CORCORAN ST,DEL SUR ST,,2012/10/26 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2476, ,Lane,SHORT AV,KENYON AV,CHASE AV,,2012/11/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2477, ,Lane,SANTA MONICA BL,MYRA AV,HOOVER ST,,2012/11/11 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2478, ,Lane,92ND ST,LA SALLE AV,HARVARD BL,,2012/12/02 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2479, ,Lane,OPP ST,AVALON PL,AVALON BL,,2012/12/12 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2480, ,Lane,OPP ST,BANNING BL,LAKME AV,,2012/12/12 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2481, ,Sharrowed Route,ORANGE DR,SANTA MONICA BL,ROMAINE ST,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2482, ,Sharrowed Route,ORANGE DR,DE LONGPRE AV,FOUNTAIN AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2483, ,Lane,1ST ST,CENTRAL AV,JUDGE JOHN AISO ST/SAN PEDRO ST,,2022/11/22 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2484, ,Sharrowed Route,2ND ST,LOS ANGELES ST,MAIN ST,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2485, ,Lane,CYPRESS AV,IDELL ST,GAY ST,,2013/03/24 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2486,Backbone,Lane,PLATT AV,HAYNES ST,VICTORY BL,,2019/08/30 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2487,Backbone,Protected Bike Lane,PLATT AV,WELBY WY,HAYNES ST,,2019/08/30 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2488,Backbone,Lane,FOOTHILL BL,550' W/O WENTWORTH ST,780' W/O WENTWORTH ST,,2012/02/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2489,Backbone,Lane,FOOTHILL BL,ESKO AV,WHEATLAND AV,,2012/02/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2490,Backbone,Lane,FOOTHILL BL,FOOTHILL PL,ESKO AV,,2012/02/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2491, ,Lane,LOMITA BL,AVALON BL,CL E/O MARINE AV,,2013/06/17 00:00:00+00,South,Lane,2023/10/17 00:00:00+00
2492, ,Lane,HARBOR BL,SWINFORD ST,BEACON ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2493,Backbone,Lane,HARBOR BL,O'FARRELL ST,1ST ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2494,Backbone,Lane,HARBOR BL,BEACON ST,O'FARRELL ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2495,Backbone,Lane,HARBOR BL,O'FARRELL ST,SANTA CRUZ ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2496,Backbone,Lane,HARBOR BL,1ST ST,2ND ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2497, ,Buffer Bike Lane,CLYBOURN AV,JEFFRIES AV,EDISON BL,,2015/02/27 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2498, ,Protected Bike Lane,RESEDA BL,NORDHOFF ST,RAYEN ST,,2015/06/24 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2499,Backbone,Lane,RESEDA BL,KINZIE ST,SUPERIOR ST,,2010/09/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2500,Backbone,Protected Bike Lane,RESEDA BL,GRESHAM ST,PARTHENIA ST,,2010/09/19 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2501,Backbone,Protected Bike Lane,RESEDA BL,GRESHAM ST,PARTHENIA ST,,2010/09/19 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2502, ,Lane,LOUISE AV,LASSEN ST,SUPERIOR ST,,2015/09/05 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2503, ,Sharrowed Route,EDGEMONT ST,SUNSET BL,FOUNTAIN AV,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2504, ,Lane,PACIFIC AV,4TH ST,5TH ST,,2015/09/22 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2505, ,Lane,PACIFIC AV,10TH ST,11TH ST,,2015/09/22 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2506, ,Lane,PACIFIC AV,12TH ST,13TH ST,,2015/09/22 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2507, ,Lane,VERMONT AV,69TH ST,70TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2508, ,Lane,VERMONT AV,70TH ST,71ST ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2509, ,Lane,VERMONT AV,65TH PL,66TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2510, ,Lane,VERMONT AV,68TH ST,68TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2511, ,Lane,VERMONT AV,78TH ST,78TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2512, ,Lane,VERMONT AV,76TH ST,77TH ST,,2013/03/05 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2513, ,Lane,FLETCHER DR,DELAY DR,SAN FERNANDO RD,,2016/12/08 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2514, ,Lane,FLETCHER DR,AVENUE 32,AVENUE 32,,2016/12/08 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2515,Backbone,Protected Bike Lane,FIGUEROA ST,20TH ST,21ST ST,,2018/06/24 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2516,Backbone,Lane,FOREST LAWN DR,ZOO DR,MOUNT SINAI (ENTRANCE),,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2517,Backbone,Lane,FOREST LAWN DR,FOREST LAWN DR (PVT),NORTH COYOTE CANYON RD (PVT),,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2518,Backbone,Lane,GAFFEY ST,ANAHEIM ST,WESTMONT DR,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2519,Backbone,Lane,GAFFEY ST,WESTMONT DR,CAPITOL DR,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2520,Backbone,Lane,GAFFEY ST,CAPITOL DR,GATUN ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2521,Backbone,Lane,GRAND AV,CL E/O VISTA DEL MAR,VISTA DEL MAR,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2522,Backbone,Sharrowed Route,ADAMS BL,ELLENDALE PL,MENLO AV,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2523,,Lane,BURBANK BLVD,TILDEN AV,VAN NUYS BL,,2022/03/09 00:00:00+00,,Lane,2023/10/17 00:00:00+00
2524,,Lane,BURBANK BLVD,TYRONE AV,SYLMAR AV,,2022/03/09 00:00:00+00,,Lane,2023/10/17 00:00:00+00
2525,,Lane,BURBANK BLVD,CALHOUN AV,KATHERINE AV,,2022/03/09 00:00:00+00,,Lane,2023/10/17 00:00:00+00
2526,,Lane,BURBANK BLVD,SYLMAR AV,TILDEN AV,,2022/03/09 00:00:00+00,,Lane,2023/10/17 00:00:00+00
2527,Backbone,Sharrowed Route,ADAMS BL,WEST ADAMS GARDEN (PVT),MAGNOLIA AV,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2528,Backbone,Sharrowed Route,ADAMS BL,ORCHARD AV,ELLENDALE PL,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2529,Neighborhood,Sharrowed Route,FOUNTAIN AV,HARVARD BL,HOBART BL,,2010/07/14 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2530,Neighborhood,Sharrowed Route,FOUNTAIN AV,KENMORE AV,ALEXANDRIA AV,,2010/07/14 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2531,Neighborhood,Sharrowed Route,FOUNTAIN AV,SERRANO AV,WESTERN AV,,2010/07/14 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2532,Neighborhood,Sharrowed Route,FOUNTAIN AV,LYMAN PL,LYMAN PL,,2011/10/02 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2533,Backbone,Lane,FOOTHILL BL,FOOTHILL PL,FOOTHILL PL,,2012/02/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2534,Backbone,Lane,FOOTHILL BL,FOOTHILL PL,FOOTHILL PL,,2021/05/30 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2535,Backbone,Sharrowed Route,RESEDA BL,GAULT ST,HART ST,,2010/07/16 00:00:00+00,West Valley,Sharrowed Route,2023/10/17 00:00:00+00
2536,Backbone,Sharrowed Route,RESEDA BL,GAULT ST,HART ST,,2010/07/16 00:00:00+00,West Valley,Sharrowed Route,2023/10/17 00:00:00+00
2537,Backbone,Lane,EXPOSITION BLVD,WISCONSIN ST,CATALINA ST,,2011/06/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2538, ,Lane,PARTHENIA ST,WILLIS AV,KESTER AV,,2013/03/19 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2539, ,Lane,PARTHENIA ST,VAN NUYS BL/VESPER AV,TOBIAS AV,,2013/03/19 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2540, ,Lane,TAMPA AV,ATLANTA AV,TUNNEY AV/GERMAIN ST,,2012/09/12 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2541,Backbone,Lane,GLENOAKS BL,ROSCOE BL,LANARK ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2542,Backbone,Lane,GLENOAKS BL,LANARK ST,HOLLYWOOD WY,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2543,Backbone,Lane,GLENOAKS BL,LANARK ST,HOLLYWOOD WY,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2544, ,Protected Bike Lane,BROADWAY,95TH ST,COLDEN AV,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2545,Backbone,Route,MAIN ST,30TH ST,31ST ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2546,Backbone,Route,MAIN ST,22ND ST,23RD ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2547,Backbone,Route,MAIN ST,23RD ST,24TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2548,Backbone,Route,MAIN ST,35TH ST,36TH ST,,2005/01/01 00:00:00+00,Central/South,Route,2023/10/17 00:00:00+00
2549, ,Sharrowed Route,CALIFORNIA AV,SANTA CLARA AV,SHELL AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2550, ,Sharrowed Route,CALIFORNIA AV,ELECTRIC CT,ELECTRIC AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2551, ,Sharrowed Route,OAKWOOD AV,CALIFORNIA AV,MILWOOD AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2552, ,Sharrowed Route,WEYBURN AV,BROXTON AV,GAYLEY AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2553, ,Sharrowed Route,OHIO AV,GLENDON AV,WESTWOOD BL,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2554, ,Sharrowed Route,OHIO AV,SELBY AV/WILKINS AV,SELBY AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2555, ,Sharrowed Route,OHIO AV,GREENFIELD AV,CAMDEN AV,,2013/04/26 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2556, ,Sharrowed Route,HOOVER ST,127TH ST,EL SEGUNDO BL,,2013/04/26 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2557, ,Sharrowed Route,HOOVER ST,121ST ST,ATHENS BL,,2013/04/26 00:00:00+00,Harbor,Sharrowed Route,2023/10/17 00:00:00+00
2558, ,Sharrowed Route,LUCERNE BL,4TH ST,5TH ST,,2013/04/26 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2559, ,Sharrowed Route,LUCERNE BL,WILSHIRE BL,8TH ST,,2013/04/26 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2560, ,Sharrowed Route,FRANKLIN AV,HILLHURST AV,RODNEY DR,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2561, ,Sharrowed Route,FRANKLIN AV,ST GEORGE ST,FRANKLIN AV (DIVIDED ROADWAY),,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2562, ,Sharrowed Route,FRANKLIN AV,FRANKLIN AV N RDWY,FRANKLIN AV N RDWY,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2563, ,Sharrowed Route,FRANKLIN AV,TAFT AV,VAN NESS AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2564, ,Sharrowed Route,FRANKLIN AV,HOOVER ST,COMMONWEALTH AV,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2565, ,Sharrowed Route,FRANKLIN AV,NEW HAMPSHIRE AV,BERENDO ST,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2566, ,Sharrowed Route,SAINT GEORGE ST,ALOHA ST,TRACY ST,,2013/03/27 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2567, ,Sharrowed Route,SAINT GEORGE ST,MONON ST,GRIFFITH PARK BL,,2013/03/27 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2568, ,Sharrowed Route,SAINT GEORGE ST,ROWENA AV,MONON ST,,2013/03/27 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2569, ,Sharrowed Route,SELMA AV,CHEROKEE AV,LAS PALMAS AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2570, ,Sharrowed Route,SELMA AV,MCCADDEN PL,MCCADDEN PL,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2571, ,Sharrowed Route,WILCOX AV,SUNSET BL,DE LONGPRE AV,,2013/03/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2572, ,Sharrowed Route,WILLOUGHBY AV,MANSFIELD AV,ORANGE DR,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2573, ,Sharrowed Route,WILLOUGHBY AV,EL CENTRO AV,VINE ST,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2574, ,Sharrowed Route,WILLOUGHBY AV,GOWER ST,EL CENTRO AV,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2575, ,Sharrowed Route,WILLOUGHBY AV,CAHUENGA BL,COLE AV,,2013/04/21 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2576, ,Sharrowed Route,WILLOUGHBY AV,FORMOSA AV,ALTA VISTA BL,,2013/04/21 00:00:00+00,West Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
2577, ,Lane,1ST ST,CENTRAL AV,JUDGE JOHN AISO ST/SAN PEDRO ST,,2022/11/22 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2578, ,Lane,1ST ST,MISSION RD,VIGNES ST,,2022/11/20 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2579, ,Sharrowed Route,1ST ST,GLESS ST,GABRIEL GARCIA MARQUEZ ST,,2013/04/01 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2580, ,Lane,1ST ST,CENTRAL AV,JUDGE JOHN AISO ST/SAN PEDRO ST,,2022/11/22 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2581, ,Sharrowed Route,2ND ST,CENTRAL AV,SAN PEDRO ST,,2013/03/29 00:00:00+00,North Central,Sharrowed Route,2023/10/17 00:00:00+00
2582, ,Route,BROADWAY,67TH ST,68TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2583, ,Route,BROADWAY,74TH ST,75TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2584, ,Route,BROADWAY,48TH ST,49TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2585, ,Route,BROADWAY,43RD ST,43RD PL,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2586, ,Route,BROADWAY,59TH ST,59TH PL,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2587, ,Route,BROADWAY,58TH ST,SLAUSON AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2588, ,Route,BROADWAY,55TH ST,56TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2589, ,Route,BROADWAY,79TH ST,80TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2590, ,Protected Bike Lane,BROADWAY,86TH PL,87TH ST,,2020/10/15 00:00:00+00,South Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2591, ,Route,WOODMAN AV,STAGG ST,SATICOY ST,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2592, ,Route,WOODMAN AV,RUNNYMEDE ST,VALERIO ST,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2593, ,Lane,ZONAL AV,STATE ST,MISSION RD,,2013/04/04 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2594, ,Lane,LANKERSHIM BL,PEORIA ST,NEENACH ST,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2595, ,Lane,LANKERSHIM BL,STRATHERN ST,BLYTHE ST,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2596, ,Lane,LANKERSHIM BL,TELFAIR AV/PENDLETON ST,GOLDEN STATE FY/CAYUGA AV,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2597, ,Lane,COLFAX AV,BURBANK BL,ALBERS ST,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2598, ,Lane,NORDHOFF ST,KESTER AV,LEMONA AV,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2599, ,Lane,NORDHOFF ST,VAN NUYS BL,TOBIAS AV,,2013/04/07 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
